startup_name,description,categorie,pays,ouverture,resultat,raison,fermeture,nombre_de_fondateur,founder,nombre_d_employe,founding_round,Total_funding,Profit,nombre_d_investisseur
BitPass,Online payment system for digital content,Finances,United States,2002,Shut Down,Competition,2007,1,Kurt Huang,79,2,1830091,-1,6
ChaCha,Search engine with a live human being,Software & Hardware,United States,2005,Shut Down,Competition,2016,2,Brad Bostic & Scott Jones,17,9,775112,-1,9
Dazo,India's first curated food demand platform,Food & Beverage,India,2015,Shut Down,Competition,2016,2,"Monica Rastogi, Shashaank Shekhar Singhal",44,1,66188,-1,7
gameslog,Gameslog was a gaming site monetized with affiliate marketing. But the site,Entertainment,Germany,2014,Shut Down,Competition,2018,1,Michael Hebenstreit,5,2,82786,-1,8
HotelsAroundYou,Booking of same-day hotel rooms,Travel,India,2013,Shut Down,Competition,2017,3,"Animesh Chaudhary, Harsha Nallur, Mohsin Dingankar",8,1,114567,-1,2
Kitchit,Brought local chefs to private households,Food & Beverage,United States,2011,Shut Down,Competition,2016,2,"Brendan Marshall, Ian Ferguson",18,3,308314,-1,20
knownet,KnowNet was a tutoring platform. A SWOT analysis saved Rik and Ari,Education,United States,1997,Shut Down,Competition,2018,1,Rik Ganguly,29,4,1996680,-1,6
lockpick-entertainment,"Lockpick Entertainment was a small game studio, that created Dreamlords, a famous",Software & Hardware,Sweden,2006,Shut Down,Competition,2018,1,Jesper Bylund,5,1,244247,-1,8
QBotix,Solar panels attached and regulated by robots,Software & Hardware,United States,2010,Shut Down,Competition,2015,1,Wasiq Bokhari,34,3,766738,-1,7
SpoonRocket,"Next-gen, ultra-fast delivery platform",Food & Beverage,United States,2013,Shut Down,Competition,2016,2,"Anson Tsui, Steven Hsiao",42,2,451920,-1,9
Sprig,Online app that provided healthy organic meals,Food & Beverage,United States,2013,Shut Down,Competition,2017,4,"Gagan Biyani, Matt Kent, Morgan Springer, Neeraj Berry",34,4,626667,-1,26
the-punjab-kitchen,"Amit is a hard-core sales professional, who decided to set up a",Food & Beverage,India,2017,Shut Down,Competition,2018,1,Amit Gogia,36,4,54225,-1,3
Wantful,Online gift-giving service,e-Commerce,United States,2011,Shut Down,Competition,2013,1,John Poisson,10,1,42561,-1,8
beehiveid,"BeehiveID was a startup on the dating market, that identified online accounts",Software & Hardware,United States,2013,Shut Down,Dependence on Others,2018,1,Mary Haskett,10,4,224474,-1,5
creator-growth-lab,Andrew Kamphey has started several projects related to creators and influencer marketing.,Analytics,Indonesia,2018,Shut Down,Dependence on Others,2021,1,Andrew Kamphey,41,1,418372,-1,3
hashtag-pirate,"Nicolas is an IT support engineer who built Hashtag Pirate, an Instagram",Social Media,Spain,2016,Shut Down,Dependence on Others,2018,1,Nicolas Elec Attallah,20,3,90052,-1,1
kopely,"After a decade of training and coaching, Andrew realized that stress was",Health,United States,2015,Shut Down,Dependence on Others,2020,1,Andrew Laux,41,1,951769,-1,4
Selltag,Platform for people to sell and buy items,e-Commerce,Spain,2014,Shut Down,Failure to Pivot,2015,4,"Javier Escribano, Ruben Colomer, Juan Luis Hortelano, Walter Kobylanski",31,2,71990,-1,7
sofetch,"Talking with her manicurist, Margaret got to know some of the common",Health,Armenia,2019,Shut Down,Failure to Pivot,2020,2,Margaret Rostamian,33,3,62659,-1,4
Alikolo,Online marketplace organization,e-Commerce,Indonesia,2014,Shut Down,Lack of Experience,2015,1,Danny Taniwan,0,1,0,-1,1
ArsDigita,Agency that built solutions for e-commerce,e-Commerce,United States,1997,Shut Down,Lack of Experience,2002,7,"Philip Greenspun, Tracy Adams, Ben Adida, Eve Andersson, Olin Shivers, Aurelius Prochazka, Jin Choi",47,1,763335,-1,3
explorevr,"Andrey Norin is a budding entrepreneur, responsible for all the successes and",Software & Hardware,United States,2017,Shut Down,Lack of Experience,2018,1,Andrey Norin,19,1,32161,-1,5
HitMeUp,Developed mobile marketing applications,e-Commerce,United Kingdom,2011,Shut Down,Lack of Experience,2015,1,Charlie Pool,4,1,54378,-1,1
Lumos,Internet of things startup on switching technology,Software & Hardware,India,2014,Shut Down,Lack of Experience,2015,3,"Pritesh Sankhe, Tarkeshwar Singh, Yash Kotak",3,1,5406,-1,1
raw-gains,"Jack Ellis quit his full-time job to pursue Raw Gains, a fitness",Health,United Kingdom,2020,Shut Down,Lack of Experience,2021,2,Jack Ellis,30,1,58136,-1,5
SchoolGennie,Provide data to schools about their pain points,Education,India,2013,Shut Down,Lack of Experience,2014,2,"Amit Gupta, Pardeep Goyal",0,0,0,-1,0
toki,"Vladimir was the founder of Toki, a one-stop solution to finding trends",Marketing,Russia,2018,Shut Down,Lack of Experience,2021,1,Vladimir Esaulov,47,2,579361,-1,5
vacation-bird,"Gene founded VacationBird, a marketplace for finding your vacation rental. It was",Travel,United States,2011,Shut Down,Lack of Experience,2021,3,Gene Maryushenko,21,4,646568,-1,2
busymind,BusyMind was a simple app that guided people through basic breathing and,Health,United States,2014,Shut Down,Lack of Focus,2018,1,Kevin Lamping,40,2,519384,-1,2
Houseparty,Video-based social media app,Social Media,United States,2011,Shut Down,Lack of Focus,2021,4,"Ben Rubin, Itai Danino, Sima Sistani, Uri Haramati",9,7,359898,-1,36
newco,"If you are interested in the no-code movement, youÃ¢â‚¬â„¢ve probably heard Ben",Education,United Kingdom,2019,Shut Down,Lack of Focus,2021,1,Ben Tossell,38,3,133150,-1,4
profitabilly,"Natagon is an entrepreneur from Bali who, trying to solve a problem",Software & Hardware,Indonesia,2014,Shut Down,Lack of Focus,2019,1,Natagon,45,4,731515,-1,8
publoft,"PubLoft's founder shares his story from bootstrapping to $24K, receiving a $100K",Services,United States,2018,Shut Down,Lack of Focus,2023,3,Mat Sherman,34,2,636035,-1,2
Stayzilla,Indian homestay network,Travel,India,2005,Shut Down,Lack of Focus,2017,4,"Rupal Yogendra, Sachit Singhi, Sachit Singhi, Yogendra Vasupal",193,4,10639358,-1,4
Stratolaunch,Launching rockets into space from airplanes,Transportation,United States,2010,Shut Down,Lack of Focus,2019,1,Paul Allen,298,5,8746452,-1,3
taleship,"Sergio Mattei is an 18-year-old entrepreneur who built Taleship, a social writing",Social Media,Puerto Rico,2017,Shut Down,Lack of Focus,2018,1,Sergio Mattei Diaz,38,3,56965,-1,1
the-blogging-manifesto,The Blogging Manifesto was a blog to help readers with their blogging,Education,United States,2016,Shut Down,Lack of Focus,2018,1,Ryan Biddulph,11,2,50092,-1,7
37Coins,Startup that developed Bitcoin technologies,Finances,United States,2014,Shut Down,Lack of Funds,2015,3,"Johann Barbie, Jonathan Zobro, Songyi Lee",8,2,17847,-1,4
Anki,Building emotionally intelligent robots,Software & Hardware,United States,2010,Shut Down,Lack of Funds,2019,3,"Boris Sofman, Hanns Tappeiner, Mark Palatucci",169,5,4364870,-1,6
autto-in,"Autto.in was an on-demand doorstep car service provider, created by Deepak in",Transportation,India,2014,Shut Down,Lack of Funds,2018,1,Deepak Murthy,9,3,164142,-1,5
gawkbox,GawkBox was a platform where viewers of live streams could play mobile,Entertainment,United States,2000,Shut Down,Lack of Funds,2019,2,Christopher Brownridge,29,2,2440725,-1,1
hawthorne-strategies,Michael Hawthorne Jr. was the founder of Atlanta-based consulting agency Hawthorne Strategies,Entertainment,United States,2013,Shut Down,Lack of Funds,2020,1,Michael Hawthorne,30,4,801334,-1,8
LayerVault,Allowed users to store and collaborate on design work,Design,United States,2011,Shut Down,Lack of Funds,2014,2,"Allan Grinshtein, Kelly Sutton",22,1,283956,-1,3
playdate,"Logan was the CEO and CTO of Playdate, an on-demand social networking",Social Media,United States,2014,Shut Down,Lack of Funds,2019,1,Logan Rado,33,2,757732,-1,5
RewardMe,Intelligent CRM solution for local commerce,Marketing,United States,2010,Shut Down,Lack of Funds,2015,3,"Jun Loayza, Stephen Johnson, Yu-kai Chou",3,1,66009,-1,2
Shuddle,Safe on-demand transportation for families,Transportation,United States,2014,Shut Down,Lack of Funds,2016,2,"Nick Allen, Rodrigo Prudencio",35,2,123764,-1,6
the-nerd-cave,"The Nerd Cave was a new kind of retail model, a truly",Entertainment,Australia,2017,Shut Down,Lack of Funds,2018,1,David Desi,25,4,42738,-1,2
vo2-sportswear,After realizing no triathlon clothing brand was properly catering to the market,e-Commerce,United Kingdom,2014,Shut Down,Lack of Funds,2019,2,Matthew Tomkin,6,4,89966,-1,8
watu,Watu was a temporary staffing app founded by JosÃƒÂ© Pablo FernÃƒÂ¡ndez and,Software & Hardware,United Kingdom,2012,Shut Down,Lack of Funds,2020,1,Pablo FernaÃŒÂndez,36,2,846898,-1,4
wedmap,Tauras is a 30-year old entrepreneur from Lithuania. With the objective of,Software & Hardware,Switzerland,2015,Shut Down,Lack of Funds,2019,2,Tauras Sinkus,33,2,415194,-1,4
yottio,"Jon was one of the YottioÃ¢â‚¬â„¢s co-founders, a mobile-first tool that enabled",Software & Hardware,United States,1995,Shut Down,Lack of Funds,2020,2,Jon Lawrence,28,4,2366328,-1,9
Atrium,Modern law firm for startups,Software & Hardware,United States,2017,Shut Down,Lack of PMF,2020,4,"Augie Rakow, Bebe Kim, Chris Smoak, Justin Kan",151,5,1542792,-1,100
EventVue,Built online communities for conferences,Finances,United States,2007,Shut Down,Lack of PMF,2010,2,"Josh Fraser, Rob Johnson",7,2,75196,-1,9
Frankly,Messaging app for frank conversations,Social Media,India,2014,Shut Down,Lack of PMF,2016,2,"Abhishek Gupta, Nikunj Jain",48,1,169321,-1,1
Friendster,Social gaming site focused on entertainment,Social Media,Philippines,2001,Shut Down,Lack of PMF,2015,1,Jonathan Abrams,37,5,1962685,-1,7
OpTier,Cloud-based enterprise software business,Analytics,United States,2002,Shut Down,Lack of PMF,2014,2,"Amir Alon, Motti Tal",19,9,649620,-1,8
Auctionata,Online auction platform for art & luxury,e-Commerce,Germany,2012,Shut Down,Legal Challenges,2017,4,"Alexander Gilkes, Alexander Zacke, Georg Untersalmberger, Susanne Zacke",327,6,5159848,-1,15
chowdy,Steve and his housemate were always complaining food was expensive in Toronto.,Food & Beverage,Canada,2000,Shut Down,Legal Challenges,2018,1,Steven Long,49,1,3124853,-1,7
Formspring,Encouraged people to get to know each other,Social Media,United States,2009,Shut Down,Legal Challenges,2013,2,"Ade Olonoh, John Wechsler",32,2,359596,-1,13
Grooveshark,Web-based on-demand music application,Music,United States,2006,Shut Down,Legal Challenges,2015,3,"Andres Barreto, Josh Greenberg, Sam Tarantino",64,0,1882788,-1,0
Koinex,Cryptocurrency exchange platform,Finances,India,2017,Shut Down,Legal Challenges,2019,3,"Aditya Naik, Rahul Raj, Rakesh Yadav",77,2,234306,-1,3
Leap Transit,Provider of private transit and offers bus services,Transportation,United States,2013,Shut Down,Legal Challenges,2015,1,Kyle Kirchhoff,81,1,273887,-1,4
Secret,Online platform to share personal secrets,Social Media,United States,2013,Shut Down,Legal Challenges,2015,2,"Chrys Bader-Wechseler, David Byttow",20,3,55096,-1,21
Theranos,Consumer healthcare technology company,Health,United States,2003,Shut Down,Legal Challenges,2018,1,Elizabeth Holmes,13,10,714916,-1,16
Yik Yak,Anonymous location-based social network,Social Media,United States,2013,Shut Down,Legal Challenges,2017,3,"Brooks Buffington, Tyler Droll, Will Jamieson",7,3,115937,-1,11
zor-technology,"When he was 16 years old, Mat wanted to help his family",Software & Hardware,Australia,2008,Shut Down,Legal Challenges,2018,1,Mathew Carpenter,8,1,288025,-1,2
adleaf-technologies,"Back in 2013, Chetan Vashistth founded his first startup business called Ã¢â‚¬Å“Adleaf",Education,India,2013,Shut Down,Mismanagement of Funds,2020,2,Chetan Vashistth,27,1,668047,-1,8
nox,"Jeremiah is an ex-entrepreneur who co-founded NOX, a nightlife app that allowed",e-Commerce,Singapore,2015,Shut Down,Mismanagement of Funds,2019,1,Jeremiah Lam,33,2,524384,-1,1
Radar Radio,UK digital radio station,Entertainment,United Kingdom,2008,Shut Down,Mismanagement of Funds,2018,1,Ollie Ashley,43,0,1324193,-1,0
Skully,Augmented reality motorcycle helmets,Transportation,United States,2013,Shut Down,Mismanagement of Funds,2016,1,"Marcus Weller, Mitch Weller",28,4,341727,-1,13
Utrip,AI-powered travel planning services,Travel,United States,2012,Shut Down,Mismanagement of Funds,2019,2,"Gilad Berenstein, Yair Berenstein",19,4,598501,-1,13
vulpine,"Derric Haynie is an entrepreneur based in Oakland, California who, years ago,",Social Media,United States,2017,Shut Down,Mismanagement of Funds,2020,1,Derric Haynie,16,2,220271,-1,3
zapstream,"Zapstream was a social live streaming platform, which competed with Meerkat and",Social Media,United States,2019,Shut Down,Mismanagement of Funds,2020,1,Devan Sood,35,4,62559,-1,7
Zirtual,Dedicated virtual assistants for busy professionals,Software & Hardware,United States,2011,Shut Down,Mismanagement of Funds,2015,3,"Collin Vine, Erik Jensen, Maren Kate Donovan",72,4,810795,-1,10
99dresses,Virtual closet to trade fashion items,e-Commerce,Australia,2010,Shut Down,Multiple Reasons,2014,1,Nikki Durkin,7,2,130914,-1,4
Aria Insights,Air vehicles for search and rescue missions,Software & Hardware,United States,2008,Shut Down,Multiple Reasons,2019,1,Helen Greiner,23,7,964942,-1,8
Flud,Social news reader for different platforms,Productivity,United States,2010,Shut Down,Multiple Reasons,2013,2,"Bobby Ghoshal, Matthew Ausonio",43,3,456182,-1,4
Justin.tv,Online video streaming platform,Social Media,United States,2007,Shut Down,Multiple Reasons,2014,4,"Justin Kan, Emmett Shear, Michael Siebel, Kyle Vogt",64,3,2021977,-1,4
Laurel & Wolf,Online interior design marketplace,e-Commerce,United States,2014,Shut Down,Multiple Reasons,2015,2,"Brandon Kleinman, Leura Fine",28,4,66301,-1,14
Monitor110,Real-time internet monitoring services,Analytics,United States,2003,Shut Down,Multiple Reasons,2008,1,Roger Ehrenberg,3,3,60435,-1,4
Navdy,Augmented driving device for cars,Transportation,United States,2013,Shut Down,Multiple Reasons,2018,2,"Doug Simpson, Karl Guttag",19,4,266649,-1,20
Quibi,Short-form streaming platform,Entertainment,United States,2018,Shut Down,Multiple Reasons,2020,1,Jeffrey Katzenberg,191,2,905656,-1,14
Reach.ly,Analytics tool for e-Commerce sites,Analytics,Latvia,2011,Shut Down,Multiple Reasons,2015,1,Ernests Ã…Â tÃ„Âls,7,3,121047,-1,2
Sharingear,Marketplace for musicians to rent their instruments,Music,Denmark,2014,Shut Down,Multiple Reasons,2015,1,Mircea Gabriel Eftemie,4,1,8571,-1,2
Shyp,On-demand shipping startup,Transportation,United States,2013,Shut Down,Multiple Reasons,2018,3,"Jack Smith, Joshua Scott, Kevin Gibbon",3,3,49632,-1,34
Sip,Daily tappable tech news and stories,Productivity,United States,2018,Shut Down,Multiple Reasons,2019,3,"Ryan Hoover, Nick Abouzeid, Chad Whitaker",1,0,697,-1,0
Vine,Platform to share short looping video clips,Social Media,United States,2012,Shut Down,Multiple Reasons,2017,3,"Colin Kroll, Dom Hofmann, Rus Yusupov",63,1,920831,-1,2
140-canvas,"After dropping out of university, Harry went back home and found a",e-Commerce,United Kingdom,2017,Shut Down,No Market Need,2019,1,Harry Dry,7,1,22808,-1,3
Berg,Commercialized cloud services for hardware innovators,Design,United Kingdom,2005,Shut Down,No Market Need,2014,1,Matt Webb,34,1,1128194,-1,2
denbertech,DenberTech's founder reveals the pitfalls of chasing cryptocurrency hype instead of addressing,Finances,Spain,2021,Shut Down,No Market Need,2023,1,Dennis RamÃƒÂ­rez Bernal,18,1,66411,-1,2
Dinnr,Ingredients and recipe to create meals at home,Food & Beverage,United Kingdom,2012,Shut Down,No Market Need,2014,2,"Adil Mohammed, Michal Bohanes",8,1,28423,-1,1
eloquis,Eloquis was all about bringing personalization to mobile apps. The problem? Early,Software & Hardware,United States,2016,Shut Down,No Market Need,2018,1,Rohit Nallapeta,32,2,105809,-1,1
fantastic-house-buyers,Fantastic House Buyers was an online service designed to improve the expensive,Services,United Kingdom,2017,Shut Down,No Market Need,2018,1,Alan Murray,13,1,22946,-1,2
gymlisted,"Gymlisted was a website for finding the right private gym. Every day,",Software & Hardware,Canada,2017,Shut Down,No Market Need,2018,1,Tom Zaragoza,43,4,81002,-1,6
juice-startup,Wit Sumathavanit has recently started to pivot from offline to online entrepreneurship.,Food & Beverage,Thailand,2000,Shut Down,No Market Need,2021,1,Wit Sumathavanit,30,4,1940804,-1,9
kolos,"In 2012, Ivo started a 3-year journey building a business that sold",Software & Hardware,Bulgaria,2012,Shut Down,No Market Need,2020,2,Ivaylo Kalburdzhiev,43,1,1358649,-1,2
mycity,"Stepa co-founded MyCity, a tool for local authorities to build relationships with",Software & Hardware,Russia,2014,Shut Down,No Market Need,2021,4,Stepa Mitaki,14,2,444607,-1,5
phoenix,Phoenix was a SaaS app to send a last message to the,Software & Hardware,Mexico,2014,Shut Down,No Market Need,2018,1,Enrique Benitez,5,2,79328,-1,6
PoliMobile,Empowered campaigns with the power of mobile,Marketing,United States,2011,Shut Down,No Market Need,2015,1,Curt Prins,0,0,0,-1,0
readership,Gregg Blanchard developed Readership from a fascination with Twitter API. While the,Analytics,United States,2016,Shut Down,No Market Need,2019,1,Gregg Blanchard,14,2,145800,-1,8
reality-hunt,Toby founded two projects that gave him lots of valuable lessons for,Software & Hardware,Belgium,2018,Shut Down,No Market Need,2021,1,Toby Allen,21,2,270452,-1,2
starsync,Founder shares how he bypassed creating an MVP and invested $95K into,Entertainment,United States,2020,Shut Down,No Market Need,2023,3,Jonny Boyarsky,14,4,183122,-1,6
teamometer,"When reading the Lean Startup book, Sergio came up with an idea",Software & Hardware,Brazil,2018,Shut Down,No Market Need,2020,1,Sergio SchuÃŒË†ler,30,2,121077,-1,9
team-voice,Team Voice was a SaaS platform for HR professionals. The problem they,Software & Hardware,Canada,2016,Shut Down,No Market Need,2018,1,Kirill Vechtomov,10,2,34014,-1,3
Teforia,A tea brewer machine connected with an application,Food & Beverage,United States,2014,Shut Down,No Market Need,2017,2,"Allen Han, Kris Efland",20,2,275922,-1,9
Wattage,Online platform that made creating hardware easy,Software & Hardware,Canada,2014,Shut Down,No Market Need,2015,3,"Brett Hagman, Jeremy Bell, Peter Nitsch",32,0,22857,-1,0
worldos,"WorldOS was a P2P infrastructure provider. Lucas tried to productize a buzzword,",Software & Hardware,United States,2003,Shut Down,No Market Need,2018,1,Lucas Gonze,14,1,854241,-1,1
sisu-academy,"Along with her husband, Becky Lebret founded Sisu Academy, a tuition-free non-profit",Education,United States,2018,Shut Down,Other,2022,3,Becky Lebret,33,3,595625,-1,5
cam-ly,"Dane built Cam.ly, a wifi camera that would stream and store video",Software & Hardware,United States,2018,Shut Down,Poor Product,2021,1,Dane Jensen,15,3,189144,-1,4
Netscape,Developed enterprise software solutions,Productivity,United States,1994,Shut Down,Poor Product,2008,3,"James Clark, Jon Mittelhauser, Marc Andreessen",5522,1,216117132,-1,1
PepperTap,Large and fast grocery delivery service,Food & Beverage,India,2014,Shut Down,Poor Product,2016,2,"Milind Sharma, Navneet Singh",3651,4,10093492,-1,7
PostRocket,Facebook page marketing platform,Analytics,United States,2010,Shut Down,Poor Product,2013,2,"Murry Ivanoff, Tim Chae",6,2,81688,-1,7
repitchbook,Charlie Reese is a Canadian software developer who came with (what he,Software & Hardware,Canada,2017,Shut Down,Poor Product,2019,1,Charlie Reese,47,3,190926,-1,7
ScaleFactor,Finance and accounting software for SMEs,Finances,United States,2014,Shut Down,Poor Product,2020,1,Kurt Rathmann,96,7,1953217,-1,17
Totsy,E-commerce selling prenatal care products,e-Commerce,United States,2009,Shut Down,Poor Product,2013,2,"Christophe Garnier, Guillaume Gauthereau",73,4,1066843,-1,4
Delicious,"Bookmarking website to save, organize and discover links",Productivity,United States,2003,Shut Down,Acquisition Flu,2023,1,Joshua Schachter,26,1,1899540,-1,10
Digg,Enables users to share interesting stories,Social Media,United States,2004,Shut Down,Competition,2023,1,Kevin Rose,48,6,3310575,-1,14
friday,"Hey everyone! I'm Luke, the founder ofFriday. We've built software to help you stay connected at work, no matter where your team is based.",Software & Hardware,United States,2015,active,"Experience of the Founder, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Luke Thomas,10,1,-1,197333,1
leadsbridge,"Hi! My name is Stefan, I'm 33 years old and I live in Italy. I am the CEO and co-founder of LeadsBridge, an all-in-one Lead Generation platform that helps companies collect more leads online.",Software & Hardware,Italy,2016,active,"Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,2,Stefan Des,30,1,-1,334607,1
trackin,"Hi Failory! I have a master degree in Computer Science, and I've learned how to code and use computers when I was 12. I released my first website when I was 14 years old.",Food & Beverage,United States,2016,active,"Experience of the Founder, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Bruno Didier,10,2,-1,112370,1
upvoty,"I'm Mike, a 34-year old entrepreneur from Holland. I'm the founder of user feedback toolUpvotyand the host of theSaaS PiratesPodcast.",Software & Hardware,Netherlands,2018,active,"Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Mike Slaats,30,1,-1,342362,1
one-hour-professor,"For those that don't know me, my name is Ron and I can be found over atOneHourProfessor. In terms of my background, prior to getting involved in this online business stuff, I spent about eight years in corporate America.",Education,United States,2016,active,"Robust Business Model, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Ron Stefanski,10,5,-1,121535,1
kamua,"Hi Nico! My background is in sales, marketing and business transformation. I'm 44 and this is my second startup, my first was a consulting and software sales company.",Software & Hardware,United Kingdom,2017,active,"Experience of the Founder, Robust Business Model, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,2,Paul Robert Cary,30,1,-1,445940,1
corebook,"I'm a 31-year old European digital nomad, cherry ice cream lover, failed garage rock band guitarist, and CEO & Co-founder atCorebook. It's a startup in the branding industry with a mission to ensure that by 2025, fixed-format PDF brand guidelines will have become a thing of the past.",Design,Latvia,2019,active,"Experience of the Founder, Competence of the Founder, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,4,Janis Verzemnieks,20,1,-1,248538,1
joker-greeting,"Hey! My name is Travis Peterson. I make prank gifts but I am mostly known for musical greeting cards that have no off-switch and loop non-stop, on purpose, until the battery dies.",e-Commerce,United States,2016,active,"Robust Business Model, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Travis Peterson,10,1,-1,140220,1
scout,"I'm Jordan and I runScout, we're a postcard marketing company that's working on bringing digital personalization and tracking to an analog channel. That means unique maps, images, text, and tracking elements per postcard.",Marketing,United States,2017,active,"Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Jordan Crawford,10,1,-1,196851,1
design-in-dc,"Thanks for taking the time to speak with me, Nico! I'm the CEO and Co-Founder of Design in DC, a digital design agency. I come out of the film world and am also a writer.",Services,United States,2020,active,"Experience of the Founder, Profitability, Strong Leadership, Geographical Advantage",-1,2,Ziad Foty,30,2,-1,453410,1
basetemplates,"Hi! I am 29, based in Berlin, and I have been building web projects and companies since I was 13 years old. Back then, I started selling graphics, websites, and scripts online and always thought: Ã¢â‚¬Å“Wow, that's amazing.",e-Commerce,Germany,2019,active,"Experience of the Founder, Profitability, Strong Leadership, Geographical Advantage",-1,4,Maximilian Fleitmann,10,2,-1,141089,6
feedcheck,"I'm Adrian, the founder ofFeedCheck, a business that helps consumer brands to analyze customer reviews from the Internet. I am 31 and I live in Bucharest, the capital of Romania.",Software & Hardware,Romania,2016,active,"Profitability, Strong Leadership, Geographical Advantage",-1,1,Adrian Balcan,10,1,-1,182252,1
festivilia,"Hi Failories! !'m Tobi Ogunwande. I am 27 years old and a proud Nigerian based in Lagos, Nigeria.",Entertainment,Nigeria,2016,active,"Experience of the Founder, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Tobi Ogunwande,20,1,-1,371388,1
40-aprons,"My name is Cheryl Malik, and I'm a law school dropout, cupcake bakery deserter, burlesque troupe leaver-behind, and general quitter. My true background is in publishing: I worked as the editor-in-chief at the literary magazines at my high school and in college, and that was what I always, always wanted to do.",Food & Beverage,United States,2017,active,"Experience of the Founder, Robust Business Model, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Cheryl Malik,10,1,-1,114044,1
bugfender,"Hi there! My name is Jordi GimÃƒÂ©nez. Once upon a time, I studied computer science in Barcelona which led to jobs in web back-end, web front-end, IT security, and more.",Software & Hardware,Spain,2009,active,"Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,2,Jordi GimÃƒÂ©nez,3,1,-1,55100,1
no-code-founders,"I'm JT - based in Edinburgh, Scotland and I'm the founder ofNo Code Founders, a community of founders using no-code tools to build internet businesses. No Code Founders was initially purely a Slack community, but over time I've added more features to our site which now includes founder, startup and tool profiles, jobs, interviews, meetups, deals, etc.",Education,Scotland,2018,active,"Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,7,Joshua Tiernan,10,1,-1,167845,1
bizzbee,"Hi, I am Dancho Dimkov, a young entrepreneur, a father, husband, and the proud owner of BizzBee Solutions. For the last 5 years, I and my team are working on building and growing an impeccable LinkedIn outreach growth strategy for B2B SMEs via LinkedIn messages and emails.",Marketing,Macedonia,2015,active,"Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Dancho Dimkov,20,1,-1,215118,1
canary,"Hi! My name is Nick and I'm a 24 year old entrepreneur from Boston. My two passions are helping people and building cool things, and that's exactly what I get to do with my startup Canary where we're changing the way venues book live music.",Music,United States,2018,active,"Experience of the Founder, Profitability, Strong Leadership, Geographical Advantage",-1,3,Nick O'Hara,10,1,-1,175003,1
linkody,"Hey, I'm FranÃƒÂ§ois Mommens, founder ofLinkody. I live in Amsterdam, but I'm planning to go back to France or Spain in the near future.",Analytics,Netherlands,2017,active,"Profitability, Strong Leadership, Geographical Advantage",-1,2,FrancÃŒÂ§ois Mommens,10,1,-1,163554,1
aplano,"My name is Tadeus Gregorian, I am 32 years old and currently based in Hamburg, Germany. Aplano is an employee scheduling tool.",Software & Hardware,Germany,2018,active,"Robust Business Model, Profitability, Strong Leadership, Geographical Advantage",-1,1,Tadeus Gregorian,5,1,-1,69079,1
rize,"My name is Will Goto, and I'm the co-founder and CEO of Rize. Rize is a productivity tool that tracks your time to help you understand how you spend your time, improve your focus, and build better work habits.",Productivity,United States,2020,active,"Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,3,Will Goto,20,3,-1,276974,1
bunnyshell,"Aloha! I'm Alin Dobra (29) and I'm the CEO & Founder of Bunnyshell, a SaaS startup for applications that really need near 100% availability and reliability. I have more than 10 years of experience in building big projects and I love to automate things.",Software & Hardware,Romania,2017,active,"Experience of the Founder, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Alin Dobra,20,1,-1,231816,1
lets-reach-success,"Hey, I'm Lidiya K, a full-time freelance writer and lifestyle designer. I'm from Bulgaria, but after becoming location, independent setting up the online business and making just enough to afford a life in a better country, I relocated to Amsterdam, Netherlands, which is my ideal destination.",Education,Netherlands,2016,active,"Experience of the Founder, Robust Business Model, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Lidiya K,50,1,-1,778074,1
photobooth-supply,"I'm Brandon Wong, CEO and founder ofPhotobooth Supply Co.We provide a business opportunity in the form of a photobooth, which allows you to record memories while earning a substantial profit. The event sector is flourishing in this experience economy, and photo booths are the fastest-growing segment.",Services,United States,2005,active,"Experience of the Founder, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Brandon Wong,30,1,-1,426033,1
branch,"My name is Sib, and I'm co-founder and head of product/growth atBranch Office Furniture(Branch), an NYC-based startup with the mission of making it easy for growing companies to create an office their teams will love. We sell our own line of office essentials: desks, chairs, conference tables, lounge furniture, and accessories.",e-Commerce,United States,2018,active,"Experience of the Founder, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,4,Sib Mahapatra,20,1,-1,220218,1
